Title,Slug,Collection ID,Locale ID,Item ID,Description,Image,Author,Hashtages,Link,Attribute,Year
pyBL: An open-source Python package for stochastic modeling of rainfall using the Bartlett-Lewis Rectangular Pulse model.,pybl-an-open-source-python-package-for-stochastic-modeling-of-rainfall-using-the-bartlett-lewis-rectangular-pulse-model,66e84be48d3cb4d76ee3f08a,66e84be48d3cb4d76ee3f07e,6753caa463e3f12bc05c6683,"The Bartlett-Lewis Rectangular Pulses model, enhanced in this package, draws on the cutting-edge research presented in Onof and Wang (2020). It operates as a robust stochastic framework designed to simulate rainfall intensity effectively. Enhanced by the latest scientific advances, this model offers improved accuracy in predicting and simulating the stochastic nature of rainfall events.",https://storage.googleapis.com/wangsite/Knowledge_Hub_avatar/pybl.png,"Chi-Ling Wei, Pei-Chun Chen, Chien-Yu Tseng, Ting-Yu Dai, Yun-Ting Ho, Ching-Chun Chou, Christian Onof, and Li-Pen Wang","public package, rainfall modelling",https://github.com/NTU-CompHydroMet-Lab/pyBL,Open Tools/Datasets,2024
Eyes on the Water  Thousands of citizen photos train AI to monitor river pollution,eyes-on-the-water---thousands-of-citizen-photos-train-ai-to-monitor-river-pollution,66e84be48d3cb4d76ee3f08a,66e84be48d3cb4d76ee3f07e,6753ca5ee848d98aa3e7d483,"This repository contains the final models, data, and supporting documentation for the ""Eyes on the Water"" project, which uses AI to monitor river health through citizen-collected photos.",https://storage.googleapis.com/wangsite/Knowledge_Hub_avatar/EyesOnWater.jpg, Ho Tin Hung and Li-Pen Wang,"public model, object detection",https://github.com/NTU-CompHydroMet-Lab/Eyes-on-the-water,Open Tools/Datasets,2024
Bayesian Bootstrapping Tutorial: Improve Small Sample Analysis with Python Step-by-Step,bayesian-bootstrapping-tutorial-improve-small-sample-analysis-with-python-step-by-step,66e84be48d3cb4d76ee3f08a,66e84be48d3cb4d76ee3f07e,6753c94591eab27b21f7060f,"This tutorial explores how the Dirichlet distribution improves bootstrap accuracy for small datasets with Python, including limitations of traditional bootstrapping, Dirichlet distribution, and Bayesian bootstrap.",https://storage.googleapis.com/wangsite/Knowledge_Hub_avatar/Bayesian%20Bootstrapping.png,Li-Pen Wang,"tutorial, Bayesian boostrapping, Python",https://youtu.be/u_Hfl6Npqio,Knowledge Exchange,2024
Bootstrapping tutorial: Confidence intervals estimation in 20-min (with hands-on Python example),bootstrapping-tutorial-confidence-intervals-estimation-in-20-min-with-hands-on-python-example,66e84be48d3cb4d76ee3f08a,66e84be48d3cb4d76ee3f07e,6753c9013c40090953544026,"In this video, well guide you through a practical 20-minute tutorial on using bootstrapping techniques to estimate confidence intervals for sample data, including the definition of bootstrapping and a Hands-On Python Example.",https://storage.googleapis.com/wangsite/Knowledge_Hub_avatar/Bootstrapping.png,Li-Pen Wang,"tutorial, boostrapping, Python",https://youtu.be/A6aAa-78d1w,Knowledge Exchange,2024
Setting up Open Data Cube with Docker,setting-up-open-data-cube-with-docker,66e84be48d3cb4d76ee3f08a,66e84be48d3cb4d76ee3f07e,6753cae51d9a01ce66c70413,This repository contains step-by-step instructions and resources to set up Open Data Cube (ODC) using Docker. Open Data Cube enables efficient handling and analysis of large geospatial datasets.,https://storage.googleapis.com/wangsite/Knowledge_Hub_avatar/ODC.png,"Pei-Chun Chen, Yu-Shen Cheng, Ching-Chun Chou, and Li-Pen Wang","tutorial, open data cube",https://github.com/NTU-CompHydroMet-Lab/OpenDataCube,Open Tools/Datasets,2023
NTUCE-CompHydroMet-Lab rain gauge data,ntuce-comphydromet-lab-rain-gauge-data,66e84be48d3cb4d76ee3f08a,66e84be48d3cb4d76ee3f07e,6753ca2ce5c867c416bca899," This repository is part of the Extreme Rainfall Monitoring Network (ERMN) campaign. We open source all the developments in ERMN, including programmes that collect different gauge data and store them in influxdb. All gauges are installed on the roof top of the Civil Engineering Research Building (CERB) in National Taiwan University.",https://storage.googleapis.com/wangsite/Knowledge_Hub_avatar/Sensor.jpeg,"Chi-Ling Wei, Cing-Chun Chou, and Li-Pen Wang","public data, rain gauge",https://github.com/NTU-CompHydroMet-Lab/RainGauge_public,Open Tools/Datasets,2023
Rainfall Data Analysis Tutorial: Using ChatGPT and Python for Data Visualisation,rainfall-data-analysis-tutorial-using-chatgpt-and-python-for-data-visualisation,66e84be48d3cb4d76ee3f08a,66e84be48d3cb4d76ee3f07e,6753c9efe848d98aa3e7a1a6,"This video demonstrates how to analyze Taiwan's rainfall data using ChatGPT and Python, featuring step-by-step guidance on data preprocessing, visualization, and spatial analysis.",https://storage.googleapis.com/wangsite/Knowledge_Hub_avatar/ChatGPT%20and%20Python%20for%20rainfall%20Data.jpg,Ho-Min Lin and Li-Pen Wang,"tutorial, data analysis, Chatgpt, Python",https://youtu.be/y_QbTGuR1i4,Knowledge Exchange,2023
AI-Powered Stock Analysis Tutorial: Implementing Stock Strategy with ChatGPT and Python,ai-powered-stock-analysis-tutorial-implementing-stock-strategy-with-chatgpt-and-python,66e84be48d3cb4d76ee3f08a,66e84be48d3cb4d76ee3f07e,6753c9bca7dea21216e4c8e9,"This video discovers how to use ChatGPT and Python to analyse stock data, create detailed visualisations, and backtest trading strategies. The tutorial offers a step-by-step guide for learning data preparation, AI-driven analysis, data visualisation techniques, applying technical indicators of the stock market, and implementing backtesting strategies.",https://storage.googleapis.com/wangsite/Knowledge_Hub_avatar/Stock%20Strategy%20with%20ChatGPT%20and%20Python.jpg,Ho-Min Lin and Li-Pen Wang,"tutorial, data analysis, Chatgpt, Python",https://youtu.be/Y0KijjNZ6pg,Knowledge Exchange,2023
Revolutionise Your Excel Workflows: Data Analysis with ChatGPT,revolutionise-your-excel-workflows-data-analysis-with-chatgpt,66e84be48d3cb4d76ee3f08a,66e84be48d3cb4d76ee3f07e,6753c9850fd2f454e67ea4a8,"Learn how to use ChatGPT for Excel to streamline data analysis with AI-powered functions like =GPT(), =GPTList(), and =GPTTable(). This video covers installation, key features, and practical examples to simplify tasks like summarization, formatting, and data extraction.",https://storage.googleapis.com/wangsite/Knowledge_Hub_avatar/Data%20Analysis%20with%20ChatGPT.jpg,Ho-Min Lin and Li-Pen Wang,"tutorial, data analysis, Chatgpt, Python",https://youtu.be/Bm1IMuJDyJs,Knowledge Exchange,2023
雷達與雨量站降雨資料融合於都市水文之應用,lei-da-yu-yu-liang-zhan-jiang-yu-zi-liao-rong-he-yu-du-shi-shui-wen-zhi-ying-yong,66e84be48d3cb4d76ee3f08a,66e84be48d3cb4d76ee3f07e,6752d6d665ac97b80f4d3df3,"This work explores techniques to improve radar rainfall accuracy for urban hydrology, focusing on radar-rain gauge merging methods. Testing Mean Field Bias correction, kriging with external drift, and Bayesian merging shows all methods enhance radar estimates, with KED performing best, closely followed by BAY.",https://storage.googleapis.com/wangsite/Knowledge_Hub_avatar/%E9%9B%B7%E9%81%94%E8%88%87%E9%9B%A8%E9%87%8F%E7%AB%99%E9%99%8D%E9%9B%A8%E8%B3%87%E6%96%99%E8%9E%8D%E5%90%88%E6%96%BC%E9%83%BD%E5%B8%82%E6%B0%B4%E6%96%87%E4%B9%8B%E6%87%89%E7%94%A8.png,Li-Pen Wang and Susana Ochoa Rodriguez,"urban hydrology, radar data merging, kriging",http://www.ciche.org.tw/wordpress/wp-content/uploads/2023/06/%E5%85%A8%E6%9C%AC-%E5%9C%9F%E6%9C%A8%E6%B0%B4%E5%88%A9-%E7%AC%AC50%E5%8D%B7%E7%AC%AC3%E6%9C%9F-%E9%9B%BB%E5%AD%90%E6%9B%B8.pdf,Knowledge Exchange,2023
人工智慧在都市淹水預測之應用與展望,ren-gong-zhi-hui-zai-du-shi-yan-shui-yu-ce-zhi-ying-yong-yu-zhan-wang,66e84be48d3cb4d76ee3f08a,66e84be48d3cb4d76ee3f07e,6752d611355c535a425bce51,"EU-funded FloodCitiSense project developed data-driven urban flood forecasting models. Two approaches were highlighted: a purely data-driven model predicting flood occurrence based on historical data and hydraulic features, and an analogue model that uses atmospheric and rainfall patterns to predict flood distribution with over 70% accuracy.",https://storage.googleapis.com/wangsite/Knowledge_Hub_avatar/%E4%BA%BA%E5%B7%A5%E6%99%BA%E6%85%A7%E5%9C%A8%E9%83%BD%E5%B8%82%E6%B7%B9%E6%B0%B4%E9%A0%90%E6%B8%AC%E4%B9%8B%E6%87%89%E7%94%A8%E8%88%87%E5%B1%95%E6%9C%9B.png,"Li-Pen Wang, Susana Ochoa Rodriguez, Yuting Chen, and Christian Onof","urban flood, flood prediction, analogue",http://www.ciche.org.tw/wordpress/wp-content/uploads/2021/07/%E5%85%A8%E6%9C%AC-%E5%9C%9F%E6%9C%A8%E6%B0%B4%E5%88%A9-%E7%AC%AC48%E5%8D%B7%E7%AC%AC2%E6%9C%9F-%E9%9B%BB%E5%AD%90%E6%9B%B8.pdf,Knowledge Exchange,2021